iter	Logloss
159	0.5005175172
160	0.5004558507
161	0.5003375925
162	0.500155326
163	0.4999949029
164	0.4998571726
165	0.4996098884
166	0.4995079676
167	0.499415191
168	0.4993549535
169	0.4992313054
170	0.4991280012
171	0.4989913651
172	0.4989136217
173	0.4988607792
174	0.4987819381
175	0.4987211706
176	0.498620998
177	0.498451933
178	0.4983388225
179	0.4982937993
180	0.4982191851
181	0.498101291
182	0.4980255609
183	0.4979404429
184	0.4978279976
185	0.4976919353
186	0.4976370954
187	0.497544703
188	0.4974761422
189	0.4973807089
190	0.4972658683
191	0.4972004796
192	0.4971119676
193	0.4969958704
194	0.4969166513
195	0.4968117169
196	0.4966757161
197	0.4965633742
198	0.4964830286
199	0.4964468026
200	0.4962945857
201	0.4961344474
202	0.4961028195
203	0.4960506837
204	0.4959113958
205	0.4957749756
206	0.4957180238
207	0.4955324317
208	0.4954230577
209	0.4952826942
210	0.4951609952
211	0.4950695391
212	0.4949940684
213	0.4949114214
214	0.4948495076
215	0.4946587257
216	0.4945365576
217	0.4944855317
218	0.4943556378
219	0.4942627344
220	0.4941561388
221	0.4940713145
222	0.4939720954
223	0.4938913906
224	0.4938159081
225	0.4937421856
226	0.4935927766
227	0.4934922522
228	0.4933968443
229	0.4933128193
230	0.4932395994
231	0.4931678735
232	0.493148535
233	0.493098671
234	0.4930331891
235	0.4929496254
236	0.4928467111
237	0.4927157235
238	0.4926517873
239	0.4925919486
240	0.4925211838
241	0.4924837776
242	0.4924639482
243	0.4923547931
244	0.4923032842
245	0.4921664452
246	0.4921396754
247	0.492011352
248	0.491961567
249	0.4918312941
250	0.4917688687
251	0.4916966172
252	0.4915916755
253	0.4915317525
254	0.4914683853
255	0.4914264748
256	0.4913755098
257	0.4913132458
258	0.4912386008
259	0.4912113403
260	0.4911132428
261	0.4910194013
262	0.4909848716
263	0.4909242251
264	0.4908325023
265	0.4907636526
266	0.4906946952
267	0.4906381973
268	0.4905450558
269	0.4905232695
270	0.4904455935
271	0.4903830569
272	0.4903465415
273	0.4902620265
274	0.4902058618
275	0.4901428775
276	0.4900509891
277	0.4899857158
278	0.4899132187
279	0.4898296905
280	0.489771143
281	0.4897142017
282	0.4895826153
283	0.4895264526
284	0.4894489706
285	0.4893865176
286	0.4892519131
287	0.489183589
288	0.4890831522
289	0.4890047332
290	0.4889321867
291	0.4888832536
292	0.4888235246
293	0.4887740456
294	0.4887338576
295	0.4886426823
296	0.4885821254
297	0.4885218778
298	0.4884439687
299	0.4883234896
300	0.4882799675
301	0.4882377345
302	0.4881347252
303	0.4880867317
304	0.4880378176
305	0.4879634334
306	0.487917899
307	0.487859026
308	0.4877515134
309	0.4876676519
310	0.4876150242
311	0.4875562803
312	0.4875169197
313	0.4874590956
314	0.4874091585
315	0.4873331153
316	0.4873186779
317	0.4872963391
318	0.4872373578
319	0.4871960137
320	0.4871033792
321	0.486992191
322	0.4869363332
323	0.4867972026
324	0.4867253547
325	0.4866524926
326	0.4866302796
327	0.4865792517
328	0.4864792912
329	0.4863897787
330	0.4863521881
331	0.4862880321
332	0.4861650049
333	0.4861082464
334	0.486032083
335	0.485923449
336	0.4858119049
337	0.4857553707
338	0.4856768709
339	0.4855893049
340	0.4855397644
341	0.4854832976
342	0.485440493
343	0.4853571617
344	0.4853161475
345	0.4852632593
346	0.4852343856
347	0.4851673196
348	0.4850453014
349	0.4849529929
350	0.4848770207
351	0.4848482001
352	0.4847759563
353	0.4847151188
354	0.4846422827
355	0.4845638728
356	0.4844939027
357	0.484436432
358	0.4843980241
359	0.4843291159
360	0.4842797586
361	0.4842317527
362	0.4841312119
363	0.4840660925
364	0.4839907079
365	0.483921521
366	0.4838454423
367	0.4837345673
368	0.4836298818
369	0.4835349315
370	0.4834630005
371	0.4834032793
372	0.4833513725
373	0.4832885839
374	0.4832389
375	0.4831274698
376	0.4830435027
377	0.4829814574
378	0.4828987035
379	0.4828384401
380	0.4827764406
381	0.4827043038
382	0.4826226405
383	0.4825186258
384	0.4824135543
385	0.4823452436
386	0.4822473125
387	0.4821787292
388	0.4820733178
389	0.4820147374
390	0.4819036266
391	0.4818218022
392	0.4817591842
393	0.481693747
394	0.4816049164
395	0.481552314
396	0.4815006644
397	0.4814413128
398	0.4813861167
399	0.4812759664
400	0.4811741959
401	0.4811122692
402	0.4810331563
403	0.4809505681
404	0.4809059727
405	0.4808567505
406	0.4808056365
407	0.4807541726
408	0.480676718
409	0.4805877663
410	0.4805448176
411	0.4804909358
412	0.4804320698
413	0.4803599675
414	0.4802976564
415	0.4802077008
416	0.4801432307
417	0.4800545485
418	0.4799876658
419	0.4799149582
420	0.4798611267
421	0.4797862334
422	0.4797122501
423	0.4796554538
424	0.4795660865
425	0.4794993867
426	0.4794469465
427	0.479376076
428	0.479295737
429	0.4792480672
430	0.4791836413
431	0.4791349522
432	0.4790346341
433	0.4789746707
434	0.4788986283
435	0.4788169231
436	0.4787588706
437	0.4786766463
438	0.4785728077
439	0.4784848701
440	0.4784123292
441	0.4783239791
442	0.478254815
443	0.4781986003
444	0.4781236666
445	0.4780732483
446	0.4780144528
447	0.4779329882
448	0.4778936756
449	0.4778375934
450	0.4777707827
451	0.4777126508
452	0.4776352015
453	0.47754623
454	0.4774574887
455	0.4774006045
456	0.4773478058
457	0.477307515
458	0.4772206423
459	0.4771688274
460	0.4770862988
461	0.4770152581
462	0.4769392133
463	0.476895313
464	0.476848481
465	0.476806115
466	0.4767590594
467	0.4767118703
468	0.4766449163
469	0.4765587822
470	0.4764853614
471	0.4764495069
472	0.4763889233
473	0.4763148592
474	0.4762365375
475	0.4761936029
476	0.4761090948
477	0.4760569624
478	0.4760006198
479	0.4759538592
480	0.4759419309
481	0.4758853255
482	0.4758468341
483	0.4758088343
484	0.475733574
485	0.4756447753
486	0.4756088856
487	0.4755172606
488	0.4754376115
489	0.4753724399
490	0.4753014557
491	0.475248063
492	0.4751572819
493	0.4751036139
494	0.4750287349
495	0.4749785366
496	0.4748903696
497	0.47482294
498	0.4747813445
499	0.4747217366
500	0.4746610682
501	0.4746160249
502	0.4745563301
503	0.4744535125
504	0.4743889334
505	0.4743396007
506	0.4742816129
507	0.4741922169
508	0.4741429279
509	0.474074048
510	0.4740007226
511	0.473932788
512	0.4739042656
513	0.4738704469
514	0.4738086414
515	0.4737596607
516	0.4736993935
517	0.4736403186
518	0.4735990136
519	0.4735506974
520	0.4735085946
521	0.4734381334
522	0.473369584
523	0.4733223377
524	0.4732526839
525	0.4731663878
526	0.4731151512
527	0.4730437895
528	0.4729849691
529	0.4729675185
530	0.4729403307
531	0.4728548211
532	0.4728024848
533	0.4727379569
534	0.4726896709
535	0.4726288895
536	0.472624072
537	0.4725799815
538	0.4725053118
539	0.4724503917
540	0.4723747591
541	0.4722993057
542	0.472249253
543	0.4722042565
544	0.472156372
545	0.4721132081
546	0.4720444216
547	0.4720097477
548	0.4719517572
549	0.4718995745
550	0.4718549838
551	0.471792138
552	0.4717694148
553	0.4717438194
554	0.4716737533
555	0.4716128717
556	0.471558971
557	0.4714661267
558	0.4714174348
559	0.4713630267
560	0.4713169014
561	0.4712628583
562	0.4712364782
563	0.4711946006
564	0.4711521726
565	0.4710911875
566	0.4710322183
567	0.4709750097
568	0.4709410439
569	0.4709343093
570	0.4708592125
571	0.4708111317
572	0.4707633732
573	0.4707156143
574	0.4706496828
575	0.470596991
576	0.4705558717
577	0.4705239466
578	0.4704722041
579	0.4704156631
580	0.4703666518
581	0.4703227357
582	0.4702736809
583	0.4702281623
584	0.470154156
585	0.4700833802
586	0.4700287507
587	0.4699858788
588	0.4699285477
589	0.4698934835
590	0.4698513007
591	0.4698125168
592	0.4697580027
593	0.4697086287
594	0.469664319
595	0.4696152697
596	0.4695562595
597	0.4694998244
598	0.4694428314
599	0.4694026498
600	0.4693316816
601	0.469273947
602	0.4692098121
603	0.4691722291
604	0.4690983842
605	0.4690375559
606	0.4689804726
607	0.4689371254
608	0.4689001844
609	0.4688388181
610	0.4687921379
611	0.4687198376
612	0.4686448958
613	0.4685872629
614	0.468530239
615	0.4685282747
616	0.468491624
617	0.4684171987
618	0.4683663266
619	0.4683330253
620	0.4682718859
621	0.4682432456
622	0.4682103179
623	0.4681501128
624	0.4681116385
625	0.4680222452
626	0.4679789212
627	0.4678964742
628	0.4678344738
629	0.4677834236
630	0.4676951191
631	0.4676424479
632	0.4675669316
633	0.4675167069
634	0.4675070021
635	0.4674635399
636	0.4674078209
637	0.4673585077
638	0.4672974534
639	0.4672514089
640	0.467235639
641	0.4672018277
642	0.4671394318
643	0.4670932058
644	0.4670515308
645	0.4670131187
646	0.4669493887
647	0.466931357
648	0.4668787112
649	0.4668243703
650	0.466776274
651	0.4667256741
652	0.466682188
653	0.4666340778
654	0.466629433
655	0.4665860479
656	0.4665523739
657	0.4665022847
658	0.4664986273
659	0.4664546375
660	0.4663992958
661	0.4663435197
662	0.466288059
663	0.4662372391
664	0.4661943981
665	0.4661486486
666	0.4660977763
667	0.4660510024
668	0.4659843219
669	0.4659136322
670	0.4658682145
671	0.4658128314
672	0.4657694261
673	0.4657193435
674	0.4656663136
675	0.4656312928
676	0.465574882
677	0.4655126113
678	0.4654506457
679	0.4654041709
680	0.4653698654
681	0.4653060402
682	0.4652598791
683	0.4652079626
684	0.4651576053
685	0.4650888319
686	0.4650298119
687	0.4650095986
688	0.4649587669
689	0.4649058504
690	0.46487117
691	0.4648217228
692	0.464762743
693	0.4647267519
694	0.4646766655
695	0.4646066419
696	0.4645635383
697	0.464503162
698	0.4644793865
699	0.4644354574
700	0.4644012942
701	0.4643370814
702	0.4642631775
703	0.4641979426
704	0.4641691449
705	0.464122823
706	0.4640644023
707	0.4640440441
708	0.4640036656
709	0.4639551971
710	0.4639060317
711	0.4638713412
712	0.4638267016
713	0.4637691745
714	0.4637150331
715	0.4636773897
716	0.4636290374
717	0.4635861957
718	0.4635423103
719	0.4635061611
720	0.4634414212
721	0.4633917919
722	0.4633381568
723	0.4633067938
724	0.4632429723
725	0.4631947386
726	0.4631448236
727	0.4630970203
728	0.4630604899
729	0.4630544647
730	0.4630183457
731	0.4629841325
732	0.4629342635
733	0.4628911339
734	0.4628397603
735	0.4627905062
736	0.4627333106
737	0.4626893206
738	0.4626493419
739	0.4626025383
740	0.4625521936
741	0.4625040359
742	0.4624589068
743	0.4623988925
744	0.4623727814
745	0.4623138452
746	0.4622809613
747	0.4622470999
748	0.4622166583
749	0.4621707344
750	0.4621225732
751	0.4620889324
752	0.462034163
753	0.4619889743
754	0.4619271839
755	0.4618871492
756	0.4618312464
757	0.461796933
758	0.461764133
759	0.4617267713
760	0.4616759678
761	0.4616423911
762	0.4616027257
763	0.4615657439
764	0.4615122791
765	0.4614654797
766	0.4614082042
767	0.4613680199
768	0.4613208933
769	0.4612849122
770	0.4612149818
771	0.4611572072
772	0.4611221128
773	0.4610944864
774	0.4610260512
775	0.4609859628
776	0.4609412603
777	0.4608966357
778	0.4608612915
779	0.4607999871
780	0.4607551394
781	0.4607271999
782	0.4606791446
783	0.4606755011
784	0.4606121345
785	0.4605817995
786	0.4605182536
787	0.4604642342
788	0.4604103791
789	0.4603975771
790	0.4603633375
791	0.4603565096
792	0.4603234851
793	0.460281922
794	0.4602528194
795	0.4602040772
796	0.4601516283
797	0.4601479293
798	0.4601255856
799	0.4600849943
800	0.4600409739
801	0.4600078948
802	0.4599513611
803	0.4599158926
804	0.4598692573
805	0.4598260566
806	0.4597860206
807	0.4597375312
808	0.4597170262
809	0.4596611598
810	0.4596187157
811	0.4595760574
812	0.4595744892
813	0.4595369049
814	0.4594944418
815	0.4594569518
816	0.459406263
817	0.4593498475
818	0.4593046828
819	0.4592681426
820	0.459216783
821	0.4591633277
822	0.4591118542
823	0.4590640105
824	0.4590429793
825	0.4589927391
826	0.4589386097
827	0.4588776311
828	0.4588296098
829	0.4587757099
830	0.458725091
831	0.4586905776
832	0.4586630402
833	0.4586365745
834	0.4585781386
835	0.4585396228
836	0.4585066498
837	0.4584794155
838	0.4584350725
839	0.4583851144
840	0.4583428889
841	0.4582830835
842	0.4582520668
843	0.4582223314
844	0.4581817132
845	0.458128895
846	0.4581260707
847	0.4580946963
848	0.458039753
849	0.4580247197
850	0.4579934846
851	0.457948495
852	0.4579099253
853	0.4578633817
854	0.4578079818
855	0.4577680781
856	0.4577488008
857	0.4577171275
858	0.4576794694
859	0.4576357285
860	0.4575896416
861	0.4575456778
862	0.4575059704
863	0.457475515
864	0.4574209071
865	0.4573630777
866	0.4573455364
867	0.4573107748
868	0.4572839211
869	0.4572417309
870	0.4571754869
871	0.4571334677
872	0.4570796749
873	0.4570457888
874	0.4570056518
875	0.4569608789
876	0.4569170464
877	0.4568716497
878	0.4568240649
879	0.4568039645
880	0.4567621072
881	0.4567153015
882	0.4566803006
883	0.4566395641
884	0.4565790818
885	0.456534352
886	0.4564987622
887	0.4564696886
888	0.4564151525
889	0.4563622796
890	0.4563297543
891	0.4562865054
892	0.4562425107
893	0.4562339344
894	0.4562063304
895	0.4561658657
896	0.4561312061
897	0.4560943088
898	0.4560472331
899	0.456016778
900	0.4559884524
901	0.4559515431
902	0.4558981926
903	0.4558589547
904	0.455806883
905	0.4557707424
906	0.4557154415
907	0.4556542373
908	0.4556455042
909	0.4556066369
910	0.4555764385
911	0.455545055
912	0.4555096639
913	0.4554665286
914	0.455413917
915	0.4553771712
916	0.4553494539
917	0.455332875
918	0.4552883813
919	0.4552370297
920	0.4552049823
921	0.4551586278
922	0.4551295064
923	0.4550876144
924	0.4550631962
925	0.4550366519
926	0.4549936339
927	0.4549790788
928	0.4549133188
929	0.4548630241
930	0.454836876
931	0.4547879313
932	0.4547494692
933	0.4547264496
934	0.4547055378
935	0.4546451818
936	0.4545932123
937	0.4545537885
938	0.4545090757
939	0.4544748248
940	0.454439414
941	0.4543932603
942	0.4543724636
943	0.4543397905
944	0.4543056478
945	0.454265035
946	0.4542202181
947	0.4541854895
948	0.4541512085
949	0.4541131282
950	0.4540798033
951	0.4540333154
952	0.4539819038
953	0.4539283395
