iter	Passed	Remaining
405	6557	25746
406	6571	25719
407	6585	25694
408	6598	25668
409	6612	25643
410	6626	25617
411	6639	25590
412	6653	25566
413	6666	25538
414	6679	25510
415	6693	25484
416	6707	25463
417	6722	25443
418	6737	25423
419	6754	25408
420	6766	25380
421	6780	25355
422	6793	25327
423	6806	25297
424	6819	25272
425	6832	25243
426	6844	25214
427	6857	25188
428	6871	25162
429	6883	25134
430	6897	25109
431	6913	25091
432	6928	25072
433	6943	25052
434	6959	25038
435	6976	25024
436	6991	25006
437	7008	24993
438	7026	24984
439	7043	24972
440	7066	24982
441	7085	24976
442	7104	24970
443	7124	24967
444	7143	24963
445	7161	24952
446	7179	24944
447	7196	24930
448	7211	24912
449	7227	24893
450	7240	24868
451	7256	24853
452	7271	24833
453	7287	24816
454	7304	24802
455	7318	24778
456	7332	24756
457	7346	24733
458	7361	24713
459	7376	24694
460	7393	24681
461	7406	24656
462	7420	24632
463	7436	24618
464	7453	24605
465	7470	24590
466	7485	24573
467	7502	24559
468	7518	24544
469	7532	24521
470	7547	24502
471	7562	24481
472	7577	24462
473	7595	24453
474	7612	24440
475	7627	24420
476	7643	24403
477	7656	24380
478	7669	24354
479	7682	24327
480	7694	24299
481	7709	24280
482	7723	24259
483	7738	24239
484	7755	24226
485	7774	24219
486	7882	24490
487	7910	24510
488	7928	24498
489	7943	24477
490	7957	24455
491	7973	24438
492	7988	24420
493	8003	24400
494	8021	24388
495	8037	24370
496	8054	24358
497	8069	24336
498	8082	24311
499	8095	24287
500	8109	24265
501	8123	24241
502	8137	24219
503	8152	24197
504	8167	24178
505	8181	24157
506	8197	24140
507	8212	24121
508	8227	24101
509	8247	24094
510	8262	24076
511	8277	24055
512	8290	24031
513	8304	24008
514	8318	23987
515	8332	23963
516	8346	23942
517	8360	23919
518	8374	23896
519	8389	23876
520	8402	23853
521	8418	23837
522	8433	23816
523	8450	23803
524	8466	23787
525	8482	23769
526	8496	23749
527	8513	23734
528	8529	23716
529	8542	23693
530	8555	23669
531	8569	23646
532	8582	23623
533	8599	23608
534	8613	23587
535	8628	23567
536	8643	23548
537	8657	23525
538	8669	23500
539	8682	23476
540	8696	23453
541	8709	23430
542	8723	23408
543	8739	23391
544	8753	23369
545	8767	23347
546	8781	23325
547	8794	23302
548	8808	23281
549	8822	23260
550	8837	23241
551	8853	23223
552	8867	23203
553	8883	23186
554	8897	23166
555	8912	23145
556	8925	23124
557	8940	23103
558	8953	23081
559	8967	23060
560	8981	23037
561	8995	23015
562	9007	22991
563	9023	22975
564	9039	22958
565	9053	22937
566	9071	22927
567	9085	22905
568	9098	22882
569	9111	22857
570	9124	22835
571	9138	22814
572	9151	22790
573	9164	22768
574	9179	22748
575	9192	22725
576	9206	22704
577	9220	22685
578	9236	22668
579	9251	22649
580	9265	22630
581	9280	22611
582	9297	22597
583	9311	22576
584	9324	22554
585	9337	22531
586	9350	22509
587	9364	22486
588	9377	22463
589	9389	22440
590	9402	22415
591	9415	22393
592	9428	22370
593	9442	22350
594	9460	22338
595	9476	22323
596	9492	22307
597	9508	22292
598	9523	22275
599	9539	22259
600	9556	22244
601	9573	22231
602	9590	22218
603	9606	22202
604	9622	22187
605	9638	22172
606	9656	22161
607	9672	22144
608	9688	22129
609	9704	22113
610	9720	22097
611	9739	22088
612	9756	22075
613	9773	22061
614	9788	22044
615	9802	22024
616	9818	22007
617	9833	21990
618	9849	21973
619	9865	21959
620	9882	21945
621	9898	21929
622	9914	21912
623	9930	21897
624	9947	21883
625	9963	21868
626	9978	21849
627	9994	21835
628	10010	21819
629	10027	21805
630	10043	21790
631	10059	21773
632	10076	21761
633	10093	21748
634	10109	21730
635	10124	21713
636	10140	21698
637	10157	21683
638	10172	21667
639	10189	21651
640	10204	21635
641	10222	21622
642	10238	21607
643	10254	21591
644	10269	21574
